$STEP	PopulationN	ConnectionN	SpeciesSum	maxTransfer
0.0	2	3	1	0.0
0.09999999776482582	6	3	1	0.04222557950000311
0.19999999552965164	6	3	1	0.0978830593992074
0.29999999329447746	6	3	1	0.22005465918227282
0.3999999910593033	6	3	1	0.3120588101954525
0.4999999888241291	6	3	1	0.5346433064627698
0.5999999865889549	6	3	1	0.6985244569981921
0.6999999843537807	6	3	1	0.8886472573293985
0.7999999821186066	6	3	1	1.0488896417059397
0.8999999798834324	6	3	1	1.1097902287025896
0.9999999776482582	6	3	1	1.1780937595547436
1.099999975413084	6	3	1	1.2472638530978115
1.1999999731779099	6	3	1	1.3204894376524952
1.2999999709427357	6	3	1	1.398003215685157
1.3999999687075615	6	3	1	1.4757272850810206
1.4999999664723873	6	3	1	1.5579316870781579
1.5999999642372131	6	3	1	1.6588809947869012
1.699999962002039	6	3	1	1.7562626003537576
1.7999999597668648	6	3	1	1.8593633916716534
1.8999999575316906	6	3	1	1.9684114842970226
1.9999999552965164	6	3	1	2.083985444817811
2.0999999530613422	6	3	1	2.206238211018843
2.199999950826168	6	3	1	2.3358230787453422
2.299999948590994	6	3	1	2.4730191998078723
2.3999999463558197	6	3	1	2.6182068583498768
2.4999999441206455	6	3	1	2.771852449924999
2.5999999418854713	6	3	1	2.934633250815042
2.699999939650297	6	3	1	3.1070008853403452
2.799999937415123	6	3	1	3.2894528904911953
2.899999935179949	6	3	1	3.482621516748224
2.9999999329447746	6	3	1	3.6871581955007464
3.0999999307096004	6	3	1	3.9035133462586407
3.1999999284744263	6	3	1	4.132752311996397
3.299999926239252	6	3	1	4.34968962450221
3.399999924004078	6	3	1	4.631911777339332
3.4999999217689037	6	3	1	4.903873234613786
3.5999999195337296	6	3	1	5.19188539100476
3.6999999172985554	6	3	1	5.479609647344821
3.799999915063381	6	3	1	5.819516453182541
3.899999912828207	6	3	1	6.161208028097079
3.999999910593033	6	3	1	6.522972859337279
4.099999908357859	7	8	2	6.895784358595265
4.1999999061226845	7	8	2	7.300508200223544
4.29999990388751	7	8	2	7.729284647310091
4.399999901652336	7	8	2	8.182883241429307
4.499999899417162	6	3	2	8.663184614329632
4.599999897181988	6	3	2	9.171790586845683
4.699999894946814	7	8	3	9.640411087205608
4.799999892711639	8	15	4	10.24771854739661
4.899999890476465	8	15	4	10.849200980640502
4.999999888241291	8	15	4	11.485948750764836
5.099999886006117	8	15	4	12.159836109022276
5.199999883770943	9	24	5	12.863418407380175
5.2999998815357685	9	24	6	13.5307171609502
5.399999879300594	9	24	6	14.406350477930992
5.49999987706542	9	24	6	15.252319886257004
5.599999874830246	8	15	6	16.136012885937753
5.699999872595072	8	15	6	17.09601430619116
5.799999870359898	8	15	6	18.08946660728537
5.899999868124723	8	15	6	19.140779355965417
5.999999865889549	8	15	6	20.23997072980625
6.099999863654375	8	15	6	21.452092941145512
6.199999861419201	9	24	7	22.70008907931369
6.299999859184027	9	24	7	24.021278915823565
6.3999998569488525	9	24	7	25.431392930548743
6.499999854713678	10	35	8	26.91341566877246
6.599999852478504	8	15	8	28.49339475912905
6.69999985024333	8	15	9	29.9564969947628
6.799999848008156	8	15	9	31.92352642872414
6.899999845772982	9	24	10	33.78624591657381
6.9999998435378075	9	24	11	35.550066889383075
7.099999841302633	9	24	11	37.85601073646131
7.199999839067459	7	8	11	40.07853781126307
7.299999836832285	8	15	12	42.41828506524232
7.399999834597111	10	35	13	44.63591790547409
7.499999832361937	11	48	14	47.50851192235897
7.599999830126762	10	35	15	50.27223011296192
7.699999827891588	10	35	15	53.21230860647385
7.799999825656414	10	35	16	56.322927908248886
7.89999982342124	10	35	16	59.62873481868505
7.999999821186066	10	35	16	63.10691353813723
8.099999818950891	12	63	18	66.78731500247206
8.199999816715717	12	63	18	70.68751074171935
8.299999814480543	12	63	19	74.12085414566263
8.399999812245369	12	63	19	78.75401902712422
8.499999810010195	13	80	20	83.80435323764969
8.59999980777502	12	63	20	88.68721916293926
8.699999805539846	15	120	21	93.59529397115672
8.799999803304672	16	143	23	98.6030847615239
8.899999801069498	20	255	26	105.0196865493797
8.999999798834324	20	255	26	111.12985842462898
9.09999979659915	23	359	28	115.95021267548303
9.199999794363976	23	359	28	122.97993378338776
9.299999792128801	23	359	28	125.00190458372673
9.399999789893627	26	481	30	124.99190443136003
9.499999787658453	27	526	30	124.99190443136003
9.599999785423279	26	481	30	123.06068515951587
9.699999783188105	25	438	30	123.83278481685356
9.79999978095293	25	438	30	125.00190458372673
9.899999778717756	25	438	30	125.00190458372673
9.999999776482582	26	481	30	124.50013442923775
10.099999774247408	26	481	30	123.76137816887487
10.199999772012234	25	438	30	123.25442437681193
10.29999976977706	29	621	32	125.00190458372673
10.399999767541885	30	672	32	123.06978629985348
10.499999765306711	30	672	32	120.96174345843299
10.599999763071537	28	573	32	125.00190458372673
10.699999760836363	27	526	32	125.00190458372673
10.799999758601189	29	622	33	124.36393407461718
10.899999756366014	31	725	33	125.00190458372673
10.99999975413084	31	725	33	124.99190443136003
11.099999751895666	34	895	36	125.00190458372673
11.199999749660492	33	836	36	123.52876433405686
11.299999747425318	32	780	36	125.00190458372673
11.399999745190144	31	725	36	124.99190443136003
11.49999974295497	33	837	38	123.45660261614148
11.599999740719795	33	837	38	124.3830988839571
11.699999738484621	33	837	38	124.52197442951964
11.799999736249447	33	837	38	122.9397182103922
11.899999734014273	34	896	40	120.17296125508084
11.999999731779099	35	957	40	125.00190458372673
12.099999729543924	35	957	40	125.00190458372673
12.19999972730875	36	1021	41	125.00190458372673
12.299999725073576	36	1021	42	125.00190458372673
12.399999722838402	37	1086	42	125.00190458372673
